frame_number,total_vehicles,cars,trucks,buses,motorcycles,bicycles,confidence_threshold
1,12,8,1,0,3,0,0.25
2,15,11,1,0,3,0,0.25
3,16,12,1,0,3,0,0.25
4,15,12,0,0,3,0,0.25
5,16,11,1,0,4,0,0.25
6,14,10,1,0,3,0,0.25
7,14,10,0,0,4,0,0.25
8,14,10,0,0,4,0,0.25
9,17,12,1,0,4,0,0.25
10,14,9,1,0,4,0,0.25
11,13,10,0,0,3,0,0.25
12,13,10,0,0,3,0,0.25
13,15,10,2,0,3,0,0.25
14,14,10,1,0,3,0,0.25
15,14,10,1,0,3,0,0.25
16,14,10,1,0,3,0,0.25
17,14,9,2,0,3,0,0.25
18,13,8,2,0,3,0,0.25
19,12,7,1,0,4,0,0.25
20,11,7,1,0,3,0,0.25
21,11,6,1,0,4,0,0.25
22,14,8,2,0,4,0,0.25
23,10,6,1,0,3,0,0.25
24,11,6,2,0,3,0,0.25
25,11,7,2,0,2,0,0.25
26,13,7,2,0,4,0,0.25
27,13,7,2,0,4,0,0.25
28,12,7,2,0,3,0,0.25
29,14,7,3,0,4,0,0.25
30,11,5,4,0,2,0,0.25
31,11,5,3,0,3,0,0.25
32,11,6,3,0,2,0,0.25
33,8,5,1,0,2,0,0.25
34,10,6,2,0,2,0,0.25
35,10,6,2,0,2,0,0.25
36,9,5,2,0,2,0,0.25
37,10,6,2,0,2,0,0.25
38,9,5,2,0,2,0,0.25
39,9,5,2,0,2,0,0.25
40,10,6,2,0,2,0,0.25
41,9,5,2,0,2,0,0.25
42,10,5,3,0,2,0,0.25
43,12,6,3,0,3,0,0.25
44,13,7,3,0,3,0,0.25
45,12,6,3,0,3,0,0.25
46,11,6,3,0,2,0,0.25
47,12,8,2,0,2,0,0.25
48,12,8,2,0,2,0,0.25
49,14,10,2,0,2,0,0.25
50,14,9,3,0,2,0,0.25
51,13,10,2,0,1,0,0.25
52,14,10,2,0,2,0,0.25
53,13,10,1,0,2,0,0.25
54,15,11,2,0,2,0,0.25
55,16,12,1,0,3,0,0.25
56,15,11,1,0,3,0,0.25
57,13,10,1,0,2,0,0.25
58,14,11,1,0,2,0,0.25
59,10,8,1,0,1,0,0.25
60,11,8,1,0,2,0,0.25
61,10,8,1,0,1,0,0.25
62,10,8,1,0,1,0,0.25
63,10,8,1,0,1,0,0.25
64,10,8,1,0,1,0,0.25
65,11,9,1,0,1,0,0.25
66,12,9,1,0,2,0,0.25
67,12,9,1,0,2,0,0.25
68,14,11,1,0,2,0,0.25
69,12,8,2,0,2,0,0.25
70,15,10,3,0,2,0,0.25
71,12,10,1,0,1,0,0.25
72,12,9,2,0,1,0,0.25
73,12,8,3,0,1,0,0.25
74,9,5,3,0,1,0,0.25
75,10,7,2,0,1,0,0.25
76,6,4,1,0,1,0,0.25
77,6,4,1,0,1,0,0.25
78,8,6,1,0,1,0,0.25
79,7,5,1,0,1,0,0.25
80,9,7,1,0,1,0,0.25
81,9,7,1,0,1,0,0.25
82,10,8,1,0,1,0,0.25
83,11,9,1,0,1,0,0.25
84,10,8,1,0,1,0,0.25
85,9,7,1,0,1,0,0.25
86,11,9,1,0,1,0,0.25
87,11,9,1,0,1,0,0.25
88,14,11,1,0,2,0,0.25
89,15,12,1,0,2,0,0.25
90,14,11,1,0,2,0,0.25
91,14,11,1,0,2,0,0.25
92,16,13,1,0,2,0,0.25
93,14,11,1,0,2,0,0.25
94,14,11,1,0,2,0,0.25
95,13,10,1,0,2,0,0.25
96,14,11,1,0,2,0,0.25
97,13,10,1,0,2,0,0.25
98,11,8,1,0,2,0,0.25
99,10,7,1,0,2,0,0.25
100,10,7,1,0,2,0,0.25
101,11,8,1,0,2,0,0.25
102,10,7,1,0,2,0,0.25
103,9,6,1,0,2,0,0.25
104,10,7,1,0,2,0,0.25
105,11,8,1,0,2,0,0.25
106,11,8,1,0,2,0,0.25
107,11,8,1,0,2,0,0.25
108,11,8,1,0,2,0,0.25
109,12,9,1,0,2,0,0.25
110,11,8,1,0,2,0,0.25
111,12,9,1,0,2,0,0.25
112,11,8,1,0,2,0,0.25
113,9,6,1,0,2,0,0.25
114,11,7,2,0,2,0,0.25
115,12,8,2,0,2,0,0.25
116,10,7,1,0,2,0,0.25
117,11,8,1,0,2,0,0.25
118,13,9,2,0,2,0,0.25
119,13,9,2,0,2,0,0.25
120,15,10,2,0,2,1,0.25
121,15,10,2,0,2,1,0.25
122,14,10,2,0,2,0,0.25
123,13,9,2,0,2,0,0.25
124,11,8,1,0,2,0,0.25
125,9,6,1,0,2,0,0.25
126,12,8,1,0,2,1,0.25
127,9,6,1,0,2,0,0.25
128,9,6,1,0,2,0,0.25
129,10,7,1,0,2,0,0.25
130,10,7,1,0,2,0,0.25
131,11,8,1,0,2,0,0.25
132,11,8,1,0,2,0,0.25
133,11,8,1,0,2,0,0.25
134,10,8,1,0,1,0,0.25
135,10,8,1,0,1,0,0.25
136,13,11,1,0,1,0,0.25
137,14,11,2,0,1,0,0.25
138,14,11,2,0,1,0,0.25
139,13,11,1,0,1,0,0.25
140,13,12,0,0,1,0,0.25
141,15,13,1,0,1,0,0.25
142,15,13,0,0,1,1,0.25
143,12,11,1,0,0,0,0.25
144,12,11,1,0,0,0,0.25
145,13,11,0,0,0,2,0.25
146,16,14,2,0,0,0,0.25
147,14,12,2,0,0,0,0.25
148,14,12,2,0,0,0,0.25
149,16,14,1,0,0,1,0.25
150,14,14,0,0,0,0,0.25
151,15,14,1,0,0,0,0.25
152,14,13,1,0,0,0,0.25
153,14,13,1,0,0,0,0.25
154,15,13,2,0,0,0,0.25
155,16,14,2,0,0,0,0.25
156,14,12,1,0,1,0,0.25
157,13,11,2,0,0,0,0.25
158,15,11,4,0,0,0,0.25
159,12,11,1,0,0,0,0.25
160,13,11,2,0,0,0,0.25
161,14,12,2,0,0,0,0.25
162,14,12,2,0,0,0,0.25
163,14,12,2,0,0,0,0.25
164,15,11,3,0,0,1,0.25
165,15,10,3,0,1,1,0.25
166,18,14,3,0,0,1,0.25
167,18,13,3,0,1,1,0.25
168,18,14,3,0,0,1,0.25
